"Date","Price","Open","High","Low","Vol.","Change %"
"01/31/2025","38.96","39.52","39.68","38.80","19.91M","-1.17%"
"01/30/2025","39.42","38.66","39.73","38.57","28.59M","4.01%"
"01/29/2025","37.90","37.66","38.25","37.45","11.32M","0.53%"
"01/28/2025","37.70","37.48","37.79","37.21","10.99M","0.94%"
"01/27/2025","37.35","37.59","37.59","36.85","15.49M","-1.58%"
"01/24/2025","37.95","37.99","38.16","37.84","13.73M","1.20%"
"01/23/2025","37.50","37.12","37.52","36.84","12.87M","-0.08%"
"01/22/2025","37.53","38.00","38.05","37.31","12.56M","-0.21%"
"01/21/2025","37.61","37.11","37.95","37.11","26.50M","2.34%"
"01/17/2025","36.75","36.33","37.02","36.12","16.42M","0.36%"
"01/16/2025","36.62","36.97","37.17","36.58","13.48M","-0.27%"
"01/15/2025","36.72","36.79","36.92","36.19","17.44M","1.10%"
"01/14/2025","36.32","35.51","36.41","35.51","16.16M","2.66%"
"01/13/2025","35.38","35.63","35.66","35.10","15.74M","-1.64%"
"01/10/2025","35.97","36.66","36.90","35.74","19.83M","0.19%"
"01/08/2025","35.90","35.42","35.97","35.26","25.01M","2.43%"
"01/07/2025","35.05","35.25","35.86","34.87","16.98M","1.36%"
"01/06/2025","34.58","35.00","35.22","34.52","13.04M","-1.20%"
"01/03/2025","35.00","35.23","35.29","34.97","13.69M","-0.96%"
"01/02/2025","35.34","34.46","35.40","34.44","24.53M","4.22%"
"12/31/2024","33.91","33.65","34.05","33.60","8.03M","0.41%"
"12/30/2024","33.77","33.90","34.01","33.42","18.27M","-1.43%"
"12/27/2024","34.26","34.08","34.38","33.83","10.59M","-0.61%"
"12/26/2024","34.47","34.53","34.76","34.36","8.73M","0.17%"
"12/24/2024","34.41","34.52","34.58","34.13","5.32M","0.00%"
"12/23/2024","34.41","34.23","34.48","33.88","14.59M","-0.92%"
"12/20/2024","34.73","34.50","35.12","34.44","27.87M","0.99%"
"12/19/2024","34.39","34.72","34.94","34.19","22.16M","-0.41%"
"12/18/2024","34.53","35.98","36.08","34.36","32.77M","-4.59%"
"12/17/2024","36.19","35.99","36.31","35.79","14.78M","-0.63%"
"12/16/2024","36.42","36.86","36.90","36.29","11.42M","-0.63%"
"12/13/2024","36.65","37.24","37.38","36.49","19.52M","-2.68%"
"12/12/2024","37.66","38.31","38.42","37.62","22.71M","-3.66%"
"12/11/2024","39.09","38.24","39.17","38.08","21.12M","2.92%"
"12/10/2024","37.98","38.40","38.51","37.90","13.34M","0.18%"
"12/09/2024","37.91","38.02","38.87","37.91","30.31M","2.96%"
"12/06/2024","36.82","37.41","37.41","36.74","13.46M","-1.89%"
"12/05/2024","37.53","37.64","37.99","37.14","9.91M","-0.19%"
"12/04/2024","37.60","37.78","38.01","37.54","8.15M","-0.27%"
"12/03/2024","37.70","37.10","38.12","37.10","18.59M","2.36%"
"12/02/2024","36.83","37.17","37.37","36.71","16.54M","-2.20%"
"11/29/2024","37.66","37.72","37.85","37.50","7.28M","0.56%"
"11/27/2024","37.45","37.75","37.97","37.32","15.29M","0.43%"
"11/26/2024","37.29","37.11","37.41","36.83","9.92M","0.40%"
"11/25/2024","37.14","36.99","37.24","36.78","31.49M","-2.98%"
"11/22/2024","38.28","38.47","38.57","38.02","19.69M","0.37%"
"11/21/2024","38.14","38.12","38.20","37.59","21.18M","1.11%"
"11/20/2024","37.72","37.73","37.85","37.51","16.24M","-0.42%"
"11/19/2024","37.88","37.49","37.93","37.22","22.83M","2.32%"
"11/18/2024","37.02","36.55","37.28","36.47","33.58M","4.25%"
"11/15/2024","35.51","35.93","36.18","35.40","20.36M","-0.59%"
"11/14/2024","35.72","35.31","35.97","35.19","34.77M","0.45%"
"11/13/2024","35.56","36.41","36.63","35.56","24.80M","-1.52%"
"11/12/2024","36.11","36.27","36.46","35.67","37.43M","-1.69%"
"11/11/2024","36.73","37.42","37.73","36.19","45.73M","-5.87%"
"11/08/2024","39.02","39.23","39.34","38.63","22.86M","-1.39%"
"11/07/2024","39.57","39.00","39.79","38.73","26.92M","2.41%"
"11/06/2024","38.64","38.21","38.99","37.56","44.26M","-3.66%"
"11/05/2024","40.11","40.37","40.53","39.87","16.83M","0.53%"
"11/04/2024","39.90","40.27","40.37","39.70","13.30M","0.13%"
"11/01/2024","39.85","40.49","40.81","39.85","14.36M","-1.21%"
"10/31/2024","40.34","40.83","40.89","39.87","28.00M","-2.82%"
