Date,Timestamp,Open,High,Low,Close,Volume
20200207,00:00:00,1.32869,1.33208,1.3278,1.33042,122167.440380923
20200209,00:00:00,1.32997,1.33114,1.32997,1.33114,4790.60000693798
20200210,00:00:00,1.33113,1.33291,1.3288,1.33176,97014.5802927986
20200211,00:00:00,1.33173,1.33197,1.32761,1.32897,71036.2701621652
20200212,00:00:00,1.329,1.32956,1.32356,1.32558,597577.19719822
20200213,00:00:00,1.32558,1.32709,1.324,1.32658,866803.511046238
20200214,00:00:00,1.32658,1.32688,1.32355,1.32483,403246.490154974
20200216,00:00:00,1.32495,1.32514,1.32442,1.32447,2997.48000538349
20200217,00:00:00,1.32445,1.32499,1.32248,1.32371,47861.2500471473
20200218,00:00:00,1.32372,1.32782,1.3234,1.32539,76432.3501140028
20200219,00:00:00,1.3254,1.32558,1.32149,1.32217,71955.9700656384
20200220,00:00:00,1.32215,1.32686,1.32115,1.3261,71595.9300101399
20200221,00:00:00,1.3261,1.32682,1.32018,1.32189,87914.9800616652
20200223,00:00:00,1.32504,1.32582,1.3243,1.32533,8813.32002017647
20200224,00:00:00,1.32531,1.33073,1.32473,1.3287,110099.550174437
20200225,00:00:00,1.32869,1.33054,1.3267,1.32797,117744.170287587
20200226,00:00:00,1.32797,1.33469,1.32711,1.33435,131972.620283388
20200227,00:00:00,1.33435,1.33937,1.33163,1.33877,140006.330253109
20200228,00:00:00,1.33876,1.34642,1.33854,1.33965,188666.99018611
20200301,00:00:00,1.3433,1.34392,1.34041,1.34056,6182.83000756055
20200302,00:00:00,1.34051,1.34149,1.33146,1.33245,169044.080234408
20200303,00:00:00,1.33245,1.33905,1.33186,1.33769,169290.710319601
20200304,00:00:00,1.33769,1.34311,1.3328,1.33862,120820.150254361
20200305,00:00:00,1.33859,1.34381,1.33859,1.33917,118682.570347428
20200306,00:00:00,1.33917,1.34392,1.33793,1.34156,154367.760229722
20200308,00:00:00,1.35447,1.36272,1.35376,1.36238,21688.9100258201
20200309,00:00:00,1.36235,1.37588,1.35173,1.36609,247939.810438633
20200310,00:00:00,1.36609,1.37957,1.36086,1.37317,204724.360401168
20200311,00:00:00,1.37316,1.37943,1.36811,1.3773,176119.330563143
20200312,00:00:00,1.37726,1.39614,1.37071,1.39445,230803.670706823
20200313,00:00:00,1.39444,1.3995,1.37815,1.38008,268496.931116864
20200315,00:00:00,1.38878,1.38878,1.37296,1.37871,40109.2701412812
20200316,00:00:00,1.37871,1.40189,1.37871,1.40117,310364.581695259
20200317,00:00:00,1.40115,1.42763,1.396,1.4242,254003.281136647
20200318,00:00:00,1.42418,1.46503,1.41658,1.44811,286471.910840727
20200319,00:00:00,1.44803,1.46675,1.44202,1.44997,330606.210951723
20200320,00:00:00,1.44997,1.45287,1.41486,1.43309,324806.080778286
20200322,00:00:00,1.43525,1.44882,1.43514,1.44634,12763.7900371775
20200323,00:00:00,1.44641,1.45594,1.43351,1.44793,412268.011120714
20200324,00:00:00,1.44786,1.45312,1.43743,1.44397,270716.220667496
20200325,00:00:00,1.44397,1.44608,1.41772,1.42215,268616.940909989
20200326,00:00:00,1.42216,1.42752,1.40095,1.40412,220752.310942918
20200327,00:00:00,1.40406,1.4154,1.39206,1.39783,233405.820812285
20200329,00:00:00,1.40159,1.40821,1.40067,1.40484,10858.1100279093
20200330,00:00:00,1.40484,1.41896,1.40111,1.418,213519.511074215
20200331,00:00:00,1.418,1.43487,1.40104,1.40762,263504.411005303
20200401,00:00:00,1.40763,1.42713,1.40651,1.41511,236762.391486712
20200402,00:00:00,1.41512,1.42986,1.40781,1.41292,251469.311733693
20200403,00:00:00,1.41298,1.42238,1.40938,1.41964,212415.901043408
20200405,00:00:00,1.42242,1.42611,1.42209,1.4253,11639.7900217474
20200406,00:00:00,1.42531,1.42588,1.4081,1.41119,208423.451283976
20200407,00:00:00,1.41119,1.41221,1.39444,1.40148,230264.140960358
20200408,00:00:00,1.40149,1.40809,1.39905,1.40019,181793.480891876
20200409,00:00:00,1.40019,1.40774,1.39305,1.39864,211782.370905749
20200410,00:00:00,1.39863,1.40083,1.39449,1.39503,60230.8901108801
20200412,00:00:00,1.39244,1.39997,1.39235,1.39685,8049.43000011146
20200413,00:00:00,1.39685,1.39871,1.38551,1.38734,129599.730399355
20200414,00:00:00,1.3874,1.39245,1.38622,1.38804,126383.06037762
20200415,00:00:00,1.38799,1.41319,1.38793,1.41176,171624.58073765
20200416,00:00:00,1.41175,1.41821,1.40144,1.40379,189477.530903608
20200417,00:00:00,1.40375,1.41174,1.39963,1.39976,171046.4307561
20200419,00:00:00,1.40154,1.40517,1.40153,1.40516,7122.37001544237
20200420,00:00:00,1.40516,1.41531,1.4031,1.41294,163822.380510576
20200421,00:00:00,1.41294,1.42645,1.41127,1.41913,276585.831701316
20200422,00:00:00,1.41907,1.42374,1.41146,1.41843,182215.380941167
20200423,00:00:00,1.41845,1.41978,1.39996,1.40651,175129.850813113
20200424,00:00:00,1.4065,1.41198,1.40231,1.40923,144201.370632745
20200426,00:00:00,1.40839,1.41168,1.40804,1.41093,5336.86000859737
20200427,00:00:00,1.41091,1.41146,1.40144,1.40365,127908.390451856
20200428,00:00:00,1.4037,1.40725,1.39354,1.39827,124384.30048608
